id;description;code;deleted
1;Harbors North Korean Won;quantifying;false
2;Rustic Soft Shoes customized;Palladium user-centric Group;false
3;Buckinghamshire invoice;Versatile synergy;false
4;Auto Loan Account;Unbranded Metal Chips Azerbaijanian Manat;true
5;Beauty;Forks Keyboard Checking Account;false
6;Manager Internal copy;Savings Account;false
7;gold;Response;true
8;Rustic;Engineer Corners;true
9;Quality-focused Supervisor;input Configuration;true
10;Reactive New Mexico Future;maximize;false
