id;description;code;deleted
1;silver;system;false
2;program Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;false
3;Haven Montenegro Fantastic Plastic Table;Bahamas;true
4;orange Trinidad and Tobago Dollar Gorgeous;UAE Dirham;true
5;Investment Account;Investment Account cross-platform;false
6;transmitting parse infrastructures;matrix Implementation Shirt;false
7;synthesize Arizona synthesizing;synthesizing;true
8;back-end;Mouse open-source payment;true
9;granular HDD whiteboard;Lights interface Central;true
10;Saint Helena;Borders Grass-roots;true
