id;description;code;deleted
1;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;false
2;array Belize Dollar;optical;true
3;Rwanda Customer;Liaison copy program;true
4;Steel salmon application;USB scalable;true
5;Fantastic indexing;Investment Account;true
6;Cameroon Bedfordshire models;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);true
7;Persistent transparent Chips;front-end Intuitive vortals;false
8;Savings Account Customer Granite;Money Market Account;false
9;HDD Security Virginia;solid state Clothing deposit;true
10;maximize Practical Steel Fish;Configuration;true
