id;name;telephone;deleted;status
1;B2B Mouse;433-252-0392 x9460;true;27976
2;schemas;621-190-8994 x7569;false;8274
3;SCSI Aruba Chair;378-499-1357 x339;true;84211
4;bypassing Bypass;120-008-6859 x799;true;58514
5;capacitor program enhance;421-292-6228;true;75699
6;Fantastic Concrete Computer Baby;(547) 853-8859 x508;true;40348
7;Granite Grocery;766.782.9160 x9365;true;39224
8;partnerships International;1-554-793-2658;true;94952
9;Granite Configuration Buckinghamshire;(040) 964-3326;true;24014
10;Awesome Granite;1-514-166-1163;false;89678
